order_id,customer_id,order_date,amount,product_id,product_category
ORD00001,CUST0078,2022-05-28,253.13,PROD6484,Home
ORD00002,CUST0473,2025-04-04,420.14,PROD2477,Books
ORD00003,CUST0083,2025-05-04,292.44,PROD3321,Home
ORD00004,CUST0366,2022-10-05,486.71,PROD9790,Fashion
ORD00005,CUST0023,2025-04-23,155.06,PROD5850,Books
ORD00006,CUST0181,2023-09-25,415.12,PROD1302,Electronics
ORD00007,CUST0116,2024-09-12,34.37,PROD5896,Fashion
ORD00008,CUST0262,2025-08-20,437.14,PROD3359,Fashion
ORD00009,CUST0044,2024-12-19,311.22,PROD7993,Home
ORD00010,CUST0319,2023-05-11,381.41,PROD3361,Books
ORD00011,CUST0338,2022-06-02,103.34,PROD3687,Toys
ORD00012,CUST0282,2024-09-08,137.08,PROD5513,Home
ORD00013,CUST0371,2022-02-26,416.57,PROD3157,Fashion
ORD00014,CUST0083,2022-03-07,59.13,PROD2718,Home
ORD00015,CUST0362,2020-10-24,391.21,PROD3542,Electronics
ORD00016,CUST0433,2021-07-11,250.41,PROD8770,Beauty
ORD00017,CUST0119,2025-06-18,211.05,PROD7758,Home
ORD00018,CUST0034,2025-04-10,476.93,PROD7439,Electronics
ORD00019,CUST0201,2025-09-16,135.22,PROD5385,Home
ORD00020,CUST0012,2025-03-13,72.64,PROD5521,Home
ORD00021,CUST0099,2022-01-09,210.99,PROD4600,Electronics
ORD00022,CUST0014,2022-08-19,351.53,PROD6458,Beauty
ORD00023,CUST0218,2025-09-22,42.23,PROD3708,Electronics
ORD00024,CUST0276,2022-03-08,104.07,PROD4279,Books
ORD00025,CUST0381,2023-04-19,445.73,PROD5291,Electronics
ORD00026,CUST0227,2023-03-15,202.76,PROD1233,Beauty
ORD00027,CUST0350,2020-11-14,280.05,PROD3443,Toys
ORD00028,CUST0054,2022-09-15,275.73,PROD9552,Toys
ORD00029,CUST0060,2022-03-27,190.85,PROD8037,Fashion
ORD00030,CUST0323,2022-04-05,399.79,PROD6104,Beauty
ORD00031,CUST0266,2025-01-24,213.27,PROD8258,Books
ORD00032,CUST0229,2022-06-19,479.4,PROD8021,Books
ORD00033,CUST0052,2025-01-29,150.11,PROD9713,Fashion
ORD00034,CUST0042,2022-09-16,401.29,PROD8364,Home
ORD00035,CUST0465,2021-04-10,56.64,PROD5351,Home
ORD00036,CUST0138,2025-06-28,393.43,PROD7319,Electronics
ORD00037,CUST0402,2025-06-25,382.03,PROD2778,Home
ORD00038,CUST0198,2024-05-27,434.75,PROD9834,Home
ORD00039,CUST0124,2022-08-15,190.55,PROD1237,Toys
ORD00040,CUST0493,2022-04-26,57.53,PROD1641,Home
ORD00041,CUST0304,2021-11-14,151.77,PROD1244,Electronics
ORD00042,CUST0043,2021-01-06,58.7,PROD8505,Fashion
ORD00043,CUST0184,2020-11-25,34.9,PROD5993,Beauty
ORD00044,CUST0361,2022-05-13,481.67,PROD7228,Fashion
ORD00045,CUST0144,2025-08-22,495.34,PROD6997,Beauty
ORD00046,CUST0312,2021-10-26,362.52,PROD2777,Fashion
ORD00047,CUST0212,2025-01-19,53.24,PROD8887,Home
ORD00048,CUST0069,2024-07-27,161.88,PROD2961,Toys
ORD00049,CUST0176,2021-07-17,390.07,PROD3903,Books
ORD00050,CUST0499,2022-10-27,234.49,PROD4992,Beauty
ORD00051,CUST0136,2022-05-19,468.32,PROD6549,Home
ORD00052,CUST0250,2025-08-10,129.12,PROD2384,Fashion
ORD00053,CUST0308,2022-01-16,304.86,PROD4625,Electronics
ORD00054,CUST0200,2025-09-12,420.34,PROD7516,Books
ORD00055,CUST0088,2020-10-04,165.98,PROD6467,Electronics
ORD00056,CUST0311,2021-08-02,344.37,PROD2987,Beauty
ORD00057,CUST0277,2023-10-17,464.47,PROD4258,Fashion
ORD00058,CUST0411,2022-05-29,379.8,PROD8408,Electronics
ORD00059,CUST0197,2025-05-09,207.75,PROD5212,Books
ORD00060,CUST0286,2023-10-22,193.88,PROD2102,Home
ORD00061,CUST0036,2023-10-06,402.02,PROD7611,Fashion
ORD00062,CUST0064,2024-10-06,27.35,PROD2799,Fashion
ORD00063,CUST0410,2021-01-12,74.52,PROD7224,Electronics
ORD00064,CUST0460,2025-05-31,385.53,PROD2103,Toys
ORD00065,CUST0477,2024-12-02,309.58,PROD5475,Toys
ORD00066,CUST0149,2020-12-07,350.82,PROD4024,Toys
ORD00067,CUST0488,2025-10-01,173.13,PROD6406,Fashion
ORD00068,CUST0058,2022-06-17,280.72,PROD1716,Electronics
ORD00069,CUST0482,2021-06-04,417.8,PROD5060,Toys
ORD00070,CUST0323,2023-02-04,431.04,PROD8211,Home
ORD00071,CUST0424,2024-08-20,464.4,PROD4202,Fashion
ORD00072,CUST0455,2021-11-23,136.69,PROD4467,Toys
ORD00073,CUST0032,2021-05-07,408.44,PROD8730,Toys
ORD00074,CUST0027,2023-01-25,418.32,PROD4022,Electronics
ORD00075,CUST0339,2022-07-20,367.9,PROD8040,Electronics
ORD00076,CUST0444,2023-06-13,451.9,PROD3796,Home
ORD00077,CUST0371,2024-03-20,384.98,PROD3374,Beauty
ORD00078,CUST0495,2024-12-19,450.39,PROD6326,Fashion
ORD00079,CUST0196,2022-02-06,83.2,PROD6684,Electronics
ORD00080,CUST0171,2022-09-16,34.81,PROD8616,Electronics
ORD00081,CUST0012,2023-03-28,168.51,PROD7977,Home
ORD00082,CUST0201,2021-10-23,74.58,PROD5737,Toys
ORD00083,CUST0211,2023-12-23,464.28,PROD2709,Electronics
ORD00084,CUST0364,2022-01-08,288.82,PROD5957,Beauty
ORD00085,CUST0483,2023-03-21,232.57,PROD4305,Fashion
